expression,reading,meaning,tags,parts_of_speech,group,frequency,comment
する,する,to do,N5,verb,Actions & Verbs,5.75e-03,
人,ひと,person,N5,noun,Family & Relationships,3.63e-03,
これ,これ,this,N5,noun,Everyday Essentials,2.04e-03,
それ,それ,that,N5,noun,Everyday Essentials,1.41e-03,
何,なに,what,N5,noun,Everyday Essentials,1.41e-03,
私,わたし,"I, me",N5,noun,Everyday Essentials,1.32e-03,
一,いち,one,N5,noun,Numbers & Counting,1.20e-03,
今,いま,now,N5,noun,Time & Dates,1.17e-03,
時間,じかん,time,N5,noun,Time & Dates,8.91e-04,
目,め,eye,N5,noun,Body & Health,8.13e-04,
家,いえ,"house, home",N5,noun,Home & Daily Life,6.61e-04,
二,に,two,N5,noun,Numbers & Counting,5.89e-04,
好き,すき,"like, fond of",N5,na-adjective,Feelings & Emotions,5.89e-04,
誰,だれ,who,N5,noun,Everyday Essentials,5.13e-04,
仕事,しごと,"work, job",N5,noun,Work & Career,4.79e-04,
手,て,hand,N5,noun,Body & Health,4.27e-04,
三,さん,three,N5,noun,Numbers & Counting,3.98e-04,
今日,きょう,today,N5,noun,Time & Dates,3.72e-04,
車,くるま,car,N5,noun,Travel & Transport,3.63e-04,
行く,いく,to go,N5,verb,Actions & Verbs,3.31e-04,
見る,みる,"to see, to look",N5,verb,Actions & Verbs,3.16e-04,
店,みせ,"store, shop",N5,noun,Shopping & Money,2.88e-04,
会社,かいしゃ,company,N5,noun,Work & Career,2.75e-04,
十,じゅう,ten,N5,noun,Numbers & Counting,2.69e-04,
頭,あたま,head,N5,noun,Body & Health,2.69e-04,
子供,こども,child,N5,noun,Family & Relationships,2.63e-04,
名前,なまえ,name,N5,noun,Everyday Essentials,2.57e-04,
高い,たかい,"tall, expensive",N5,i-adjective,Colors & Descriptions,2.51e-04,
駅,えき,station,N5,noun,Travel & Transport,2.24e-04,
水,みず,water,N5,noun,Food & Cooking,2.14e-04,
学校,がっこう,school,N5,noun,School & Education,2.04e-04,
先生,せんせい,teacher,N5,noun,School & Education,2.00e-04,
夜,よる,"evening, night",N5,noun,Time & Dates,1.95e-04,
友達,ともだち,friend,N5,noun,Family & Relationships,1.86e-04,
新しい,あたらしい,new,N5,i-adjective,Colors & Descriptions,1.78e-04,
道,みち,"road, way",N5,noun,Travel & Transport,1.66e-04,
お金,おかね,money,N5,noun,Shopping & Money,1.62e-04,
明日,あした,tomorrow,N5,noun,Time & Dates,1.58e-04,
花,はな,flower,N5,noun,Nature & Weather,1.58e-04,
朝,あさ,morning,N5,noun,Time & Dates,1.51e-04,
来る,くる,to come,N5,verb,Actions & Verbs,1.51e-04,
家族,かぞく,family,N5,noun,Family & Relationships,1.48e-04,
部屋,へや,room,N5,noun,Home & Daily Life,1.48e-04,
はい,はい,yes,N5,expression,Basic Greetings,1.35e-04,
毎日,まいにち,every day,N5,adverb,Time & Dates,1.35e-04,
病院,びょういん,hospital,N5,noun,Body & Health,1.32e-04,
犬,いぬ,dog,N5,noun,Animals & Nature,1.26e-04,
千,せん,thousand,N5,noun,Numbers & Counting,1.20e-04,
昨日,きのう,yesterday,N5,noun,Time & Dates,1.12e-04,
猫,ねこ,cat,N5,noun,Animals & Nature,1.12e-04,
百,ひゃく,hundred,N5,noun,Numbers & Counting,1.10e-04,
元気,げんき,"healthy, energetic",N5,noun,Body & Health,1.10e-04,
服,ふく,clothes,N5,noun,Clothing & Accessories,1.07e-04,
嫌い,きらい,dislike,N5,na-adjective,Feelings & Emotions,1.05e-04,
楽しい,たのしい,"fun, enjoyable",N5,i-adjective,Feelings & Emotions,1.05e-04,
山,やま,mountain,N5,noun,Nature & Weather,1.00e-04,
買う,かう,to buy,N5,verb,Actions & Verbs,1.00e-04,
薬,くすり,medicine,N5,noun,Body & Health,9.77e-05,
学生,がくせい,student,N5,noun,School & Education,9.77e-05,
分かる,わかる,to understand,N5,verb,Actions & Verbs,9.12e-05,
どうぞ,どうぞ,"please, go ahead",N5,expression,Basic Greetings,8.51e-05,
肉,にく,meat,N5,noun,Food & Cooking,8.51e-05,
電車,でんしゃ,train,N5,noun,Travel & Transport,8.32e-05,
食べる,たべる,to eat,N5,verb,Actions & Verbs,8.32e-05,
聞く,きく,"to hear, to listen, to ask",N5,verb,Actions & Verbs,8.13e-05,
雨,あめ,rain,N5,noun,Nature & Weather,7.76e-05,
読む,よむ,to read,N5,verb,Actions & Verbs,7.41e-05,
大きい,おおきい,"big, large",N5,i-adjective,Colors & Descriptions,7.24e-05,
飲む,のむ,to drink,N5,verb,Actions & Verbs,6.92e-05,
コーヒー,コーヒー,coffee,N5,noun,Food & Cooking,6.76e-05,
トイレ,トイレ,"bathroom, toilet",N5,noun,Home & Daily Life,6.76e-05,
電気,でんき,"electricity, light",N5,noun,Home & Daily Life,6.46e-05,
小さい,ちいさい,"small, little",N5,i-adjective,Colors & Descriptions,6.31e-05,
安い,やすい,cheap,N5,i-adjective,Colors & Descriptions,6.17e-05,
休み,やすみ,"holiday, day off",N5,noun,Time & Dates,5.37e-05,
美味しい,おいしい,delicious,N5,i-adjective,Food & Cooking,5.37e-05,
魚,さかな,fish,N5,noun,Food & Cooking,5.13e-05,
お風呂,おふろ,bath,N5,noun,Home & Daily Life,4.79e-05,
書く,かく,to write,N5,verb,Actions & Verbs,4.68e-05,
靴,くつ,shoes,N5,noun,Clothing & Accessories,4.37e-05,
どうも,どうも,"thanks (casual), somehow",N5,expression,Basic Greetings,4.27e-05,
お腹,おなか,stomach,N5,noun,Body & Health,4.17e-05,
卵,たまご,egg,N5,noun,Food & Cooking,4.07e-05,
話す,はなす,to speak,N5,verb,Actions & Verbs,4.07e-05,
野菜,やさい,vegetable,N5,noun,Food & Cooking,3.89e-05,
お母さん,おかあさん,mother,N5,noun,Family & Relationships,3.80e-05,
天気,てんき,weather,N5,noun,Nature & Weather,3.47e-05,
食べ物,たべもの,food,N5,noun,Food & Cooking,3.39e-05,
買い物,かいもの,shopping,N5,noun,Shopping & Money,3.31e-05,
お茶,おちゃ,tea,N5,noun,Food & Cooking,3.02e-05,
レストラン,レストラン,restaurant,N5,noun,Food & Cooking,2.69e-05,
椅子,いす,chair,N5,noun,Home & Daily Life,2.29e-05,
お父さん,おとうさん,father,N5,noun,Family & Relationships,2.24e-05,
帽子,ぼうし,"hat, cap",N5,noun,Clothing & Accessories,2.04e-05,
机,つくえ,desk,N5,noun,Home & Daily Life,1.91e-05,
いいえ,いいえ,no,N5,expression,Basic Greetings,1.48e-05,
傘,かさ,umbrella,N5,noun,Clothing & Accessories,1.48e-05,
宿題,しゅくだい,homework,N5,noun,School & Education,1.05e-05,
もしもし,もしもし,hello (on the phone),N5,expression,Basic Greetings,3.24e-06,
御飯,ごはん,"rice (cooked), meal",N5,noun,Food & Cooking,2.24e-06,
