expression,reading,meaning,tags,parts_of_speech,group
そう; そうです,そう; そうです,"yes; appears, to be the case",N5,noun,Basic Greetings
いいえ,いいえ,"no, not at all",N5,expression,Basic Greetings
ええ,ええ,yes,N5,expression,Basic Greetings
下さい,ください,(with te-form verb) please do for me,N5,expression,Basic Greetings
さあ,さあ,"come now, well",N5,expression,Basic Greetings
どうぞ,どうぞ,"please, kindly, by all means",N5,expression,Basic Greetings
どうも,どうも,Thank you; somehow; no matter how hard one may try,N5,expression,Basic Greetings
はい,はい,yes,N5,expression,Basic Greetings
もしもし,もしもし,Hello? (used on the phone),N5,expression,Basic Greetings
あれ,あれ,that one (over there),N5,noun,Numbers & Counting
一,いち,one,N5,noun,Numbers & Counting
一日,いちにち,one day (duration),N5,noun,Numbers & Counting
一番,いちばん,"best (most), first, number one",N5,noun,Numbers & Counting
一緒,いっしょ,together,N5,noun,Numbers & Counting
五つ,いつつ,five things,N5,noun,Numbers & Counting
大勢,おおぜい,great number of people,N5,noun,Numbers & Counting
かかる,かかる,"it takes (amount of time, money) (v.i.)",N5,noun,Numbers & Counting
九,きゅう,nine,N5,noun,Numbers & Counting
九,く,nine,N5,noun,Numbers & Counting
五,ご,five,N5,noun,Numbers & Counting
九つ,ここのつ,nine things,N5,noun,Numbers & Counting
これ,これ,this one,N5,noun,Numbers & Counting
三,さん,three,N5,noun,Numbers & Counting
四,し,four,N5,noun,Numbers & Counting
七,しち,seven,N5,noun,Numbers & Counting
十,じゅう,ten,N5,noun,Numbers & Counting
背,せい,"(one's) height, stature",N5,noun,Numbers & Counting
ゼロ,ゼロ,zero,N5,noun,Numbers & Counting
千,せん,thousand,N5,noun,Numbers & Counting
それ,それ,that one,N5,noun,Numbers & Counting
たて,たて,"length, height",N5,noun,Numbers & Counting
誰か,だれか,someone,N5,noun,Numbers & Counting
十,(〜を) とお,ten (~),N5,noun,Numbers & Counting
どっち,どっち,"which one, which way",N5,noun,Numbers & Counting
どれ,どれ,which one,N5,noun,Numbers & Counting
七つ,ななつ,seven things,N5,noun,Numbers & Counting
二,に,two,N5,noun,Numbers & Counting
二十歳,はたち,20 years old,N5,noun,Numbers & Counting
八,はち,eight,N5,noun,Numbers & Counting
奥さん,おくさん,(someone else's) wife (hon.),N5,verb,Numbers & Counting
半,はん,"half (e.g., にじはん | half-past two)",N5,noun,Numbers & Counting
番号,ばんごう,"number, series of digits",N5,noun,Numbers & Counting
半分,はんぶん,half,N5,noun,Numbers & Counting
一つ,ひとつ,one thing,N5,noun,Numbers & Counting
一月,ひとつき,one month,N5,noun,Numbers & Counting
一人,ひとり,one person,N5,noun,Numbers & Counting
百,ひゃく,hundred,N5,noun,Numbers & Counting
二つ,ふたつ,two things,N5,noun,Numbers & Counting
二人,ふたり,two people,N5,noun,Numbers & Counting
万,まん,ten thousand,N5,noun,Numbers & Counting
万年筆,まんねんひつ,fountain pen,N5,noun,Numbers & Counting
三つ,みっつ,three things,N5,noun,Numbers & Counting
六つ,むっつ,six things,N5,noun,Numbers & Counting
八百屋,やおや,greengrocer,N5,noun,Numbers & Counting
八つ,やっつ,eight things,N5,noun,Numbers & Counting
四つ,よっつ,four things,N5,noun,Numbers & Counting
零,れい,"zero, nought",N5,noun,Numbers & Counting
六,ろく,six,N5,noun,Numbers & Counting
丸い; 円い,まるい,"round, circular",N5,i-adjective,Numbers & Counting
どちら,どちら,which (one) (way); where (polite),N5,na-adjective,Numbers & Counting
よく,よく,"frequently, often (much); well, skillfully",N5,na-adjective,Numbers & Counting
皆さん,みなさん,"all of you, everyone",N5,adverb,Numbers & Counting
みんな,みんな,"all, everyone, everybody",N5,adverb,Numbers & Counting
～回,～かい,counter for occurrences (~ times),N5,counter,Numbers & Counting
～冊,～さつ,counter for books,N5,counter,Numbers & Counting
～人,～じん,counter for people,N5,counter,Numbers & Counting
～台,～だい,counter for vehicles; machines,N5,counter,Numbers & Counting
～度,～ど,counter for occurrences; ~ degree; ~ point,N5,counter,Numbers & Counting
～人,～にん,counter for people,N5,counter,Numbers & Counting
～杯,～はい,counter for cupfuls,N5,counter,Numbers & Counting
呼ぶ,よぶ,to call (one's name); to invite,N5,verb,Numbers & Counting
～匹,～ひき,counter for small animals,N5,counter,Numbers & Counting
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),N5,prefix/suffix,Numbers & Counting
朝,あさ,morning,N5,noun,Time & Dates
明後日,あさって,day after tomorrow,N5,noun,Time & Dates
明日,あした,tomorrow,N5,noun,Time & Dates
後,あと,afterwards (later); in the future; the rest; since then,N5,noun,Time & Dates
五日,いつか,five days; fifth day of the month,N5,noun,Time & Dates
今,いま,now,N5,noun,Time & Dates
一昨日,おととい,the day before yesterday,N5,noun,Time & Dates
おととし,おととし,year before last,N5,noun,Time & Dates
おまわりさん,おまわりさん,policeman (friendly term),N5,noun,Time & Dates
火曜日,かようび,Tuesday,N5,noun,Time & Dates
カレンダー,カレンダー,calendar,N5,noun,Time & Dates
昨日,きのう,yesterday,N5,noun,Time & Dates
今日,きょう,"today, this day",N5,noun,Time & Dates
去年,きょねん,last year,N5,noun,Time & Dates
金曜日,きんようび,Friday,N5,noun,Time & Dates
今朝,けさ,this morning,N5,noun,Time & Dates
月曜日,げつようび,Monday,N5,noun,Time & Dates
午後,ごご,"afternoon, P.M.",N5,noun,Time & Dates
九日,ここのか,nine days; ninth day of the month,N5,noun,Time & Dates
午前,ごぜん,"morning, A.M.",N5,noun,Time & Dates
今年,ことし,this year,N5,noun,Time & Dates
今月,こんげつ,this month,N5,noun,Time & Dates
今週,こんしゅう,this week,N5,noun,Time & Dates
今晩,こんばん,"tonight, this evening",N5,noun,Time & Dates
先,さき,"future; recent, previous",N5,noun,Time & Dates
さ来年,さらいねん,year after next,N5,noun,Time & Dates
時間,じかん,time,N5,noun,Time & Dates
自分,じぶん,"myself, oneself",N5,noun,Time & Dates
水曜日,すいようび,Wednesday,N5,noun,Time & Dates
先月,せんげつ,last month,N5,noun,Time & Dates
先週,せんしゅう,last week,N5,noun,Time & Dates
それから,それから,"and then, after that",N5,noun,Time & Dates
誕生日,たんじょうび,birthday,N5,noun,Time & Dates
一日,ついたち,one day; first day of the month,N5,noun,Time & Dates
十日,とおか,ten days; tenth day of the month,N5,noun,Time & Dates
時計,とけい,a watch; a clock,N5,noun,Time & Dates
年,とし,"year, age",N5,noun,Time & Dates
隣,となり,"next to, next door to",N5,noun,Time & Dates
土曜日,どようび,Saturday,N5,noun,Time & Dates
七日,なのか,seven days; seventh day (of the month),N5,noun,Time & Dates
日曜日,にちようび,Sunday,N5,noun,Time & Dates
初めて,はじめて,for the first time,N5,noun,Time & Dates
二十日,はつか,"twenty days, twentieth (day of the month)",N5,noun,Time & Dates
晩,ばん,evening,N5,noun,Time & Dates
消す,けす,"to erase, to delete, to turn off power",N5,verb,Time & Dates
昼,ひる,"noon, daytime",N5,noun,Time & Dates
二日,ふつか,two days; second day of the month,N5,noun,Time & Dates
前,まえ,"before, in front",N5,noun,Time & Dates
三日,みっか,"three days, third day of the month",N5,noun,Time & Dates
六日,むいか,six days; sixth day of month,N5,noun,Time & Dates
木曜日,もくようび,Thursday,N5,noun,Time & Dates
休み,やすみ,holiday; day off; absence,N5,noun,Time & Dates
夕方,ゆうがた,"late afternoon (typically just before dinner time), evening",N5,noun,Time & Dates
昨夜,ゆうべ,last night,N5,noun,Time & Dates
八日,ようか,eight days; eighth day of the month,N5,noun,Time & Dates
四日,よっか,four days; fourth day of the month,N5,noun,Time & Dates
夜,よる,"evening, night",N5,noun,Time & Dates
来月,らいげつ,next month,N5,noun,Time & Dates
来週,らいしゅう,next week,N5,noun,Time & Dates
来年,らいねん,next year,N5,noun,Time & Dates
忙しい,いそがしい,"busy (people, days)",N5,i-adjective,Time & Dates
早い,はやい,early,N5,i-adjective,Time & Dates
結構,けっこう,"splendid; enough, tolerably",N5,na-adjective,Time & Dates
暇,ひま,"free time, leisure",N5,na-adjective,Time & Dates
いつも,いつも,"always, usually, every time, never (with neg. verb)",N5,adverb,Time & Dates
すぐに,すぐに,"immediately, soon",N5,adverb,Time & Dates
多分,たぶん,"perhaps, probably, maybe",N5,adverb,Time & Dates
時々,ときどき,sometimes,N5,adverb,Time & Dates
毎朝,まいあさ,every morning,N5,adverb,Time & Dates
毎月,まいげつ; まいつき,"every month, monthly",N5,adverb,Time & Dates
毎週,まいしゅう,every week,N5,adverb,Time & Dates
毎日,まいにち,every day,N5,adverb,Time & Dates
毎年,まいねん; まいとし,"every year, yearly, annually",N5,adverb,Time & Dates
毎晩,まいばん,every night,N5,adverb,Time & Dates
まだ,まだ,"yet, still, besides",N5,adverb,Time & Dates
もう,もう,already; again; more,N5,adverb,Time & Dates
～か月,～かげつ,(number of) months,N5,prefix/suffix,Time & Dates
～月,～がつ,month of year,N5,prefix/suffix,Time & Dates
～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)",N5,prefix/suffix,Time & Dates
～歳,～さい,~ years old,N5,prefix/suffix,Time & Dates
～時,～じ,~ o'clock (time),N5,prefix/suffix,Time & Dates
～時間,～じかん,~ hours,N5,prefix/suffix,Time & Dates
～中,～じゅう,"during, while",N5,prefix/suffix,Time & Dates
～週間,～しゅうかん,~ weeks,N5,prefix/suffix,Time & Dates
～ずつ,～ずつ,at a time,N5,prefix/suffix,Time & Dates
～中,～ちゅう,"during, while ~ing",N5,prefix/suffix,Time & Dates
～時,～とき,at the time of ~,N5,prefix/suffix,Time & Dates
～など,～など,et cetera,N5,prefix/suffix,Time & Dates
～日,～にち,"~ day of the month, for ~ days",N5,prefix/suffix,Time & Dates
