expression,reading,meaning,tags,group
青,あお,blue,N5,N5_Group_1
暇,ひま,"free time, leisure",N5,N5_Group_1
赤,あか,red,N5,N5_Group_1
大変,たいへん,"very; difficult, hard",N5,N5_Group_1
秋,あき,fall (season),N5,N5_Group_1
会う,あう,"to meet, to see",N5,N5_Group_1
暑い,あつい,"hot (in reference to weather), warm",N5,N5_Group_1
朝,あさ,morning,N5,N5_Group_1
～回,～かい,counter for occurrences (~ times),N5,N5_Group_1
頭,あたま,head,N5,N5_Group_1
熱い,あつい,hot (objects),N5,N5_Group_1
開く,あく,"to open, to become open",N5,N5_Group_1
兄,あに,(my) older brother (humble),N5,N5_Group_1
段々,だんだん,"gradually, by degrees",N5,N5_Group_1
姉,あね,(my) older sister (humble),N5,N5_Group_1
厚い,あつい,"kind, warm(hearted), thick, deep",N5,N5_Group_1
雨,あめ,rain,N5,N5_Group_1
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,N5,N5_Group_1
～月,～がつ,month of year,N5,N5_Group_1
家,いえ,"house, home",N5,N5_Group_1
薄い,うすい,"thin, weak",N5,N5_Group_1
犬,いぬ,dog,N5,N5_Group_1
時々,ときどき,sometimes,N5,N5_Group_1
歩く,あるく,to walk,N5,N5_Group_1
妹,いもうと,younger sister (humble),N5,N5_Group_1
遅い,おそい,slow; (to be) late,N5,N5_Group_1
色,いろ,color,N5,N5_Group_1
～個,～こ,"counter for small items (e.g., fruits, cups)",N5,N5_Group_1
絵,え,a painting; a picture; a drawing,N5,N5_Group_1
言う,いう,to say,N5,N5_Group_1
辛い,からい,hot and spicy; salty,N5,N5_Group_1
弟,おとうと,younger brother,N5,N5_Group_1
毎朝,まいあさ,every morning,N5,N5_Group_1
顔,かお,face (body part),N5,N5_Group_1
汚い,きたない,"dirty, unclean, filthy",N5,N5_Group_1
行く,いく; ゆく,to go,N5,N5_Group_1
風,かぜ,"wind, breeze",N5,N5_Group_1
～歳,～さい,~ years old,N5,N5_Group_1
方,かた,-- honorific form for 人 (ひと) --; way of doing,N5,N5_Group_1
綺麗,きれい,"pretty, clean, tidy",N5,N5_Group_1
体,からだ,body; health,N5,N5_Group_1
要る,いる,to need,N5,N5_Group_1
口,くち,job opening; mouth,N5,N5_Group_1
靴,くつ,"shoes, footwear",N5,N5_Group_1
黒い,くろい,black; dark,N5,N5_Group_1
国,くに,country; place of origin,N5,N5_Group_1
～時,～じ,~ o'clock (time),N5,N5_Group_1
売る,うる,to sell (v.t.),N5,N5_Group_1
黒,くろ,black,N5,N5_Group_1
結構,けっこう,"splendid; enough, tolerably",N5,N5_Group_1
下,した,"under, below, beneath",N5,N5_Group_1
白,しろ,white,N5,N5_Group_1
手,て,hand,N5,N5_Group_1
置く,おく,to put; to lay; to place,N5,N5_Group_1
寒い,さむい,cold (in reference to weather),N5,N5_Group_1
戸,と,door (Japanese style),N5,N5_Group_1
～人,～じん,counter for people,N5,N5_Group_1
所,ところ,place,N5,N5_Group_1
年,とし,"year, age",N5,N5_Group_1
終る,おわる,"to finish, to close",N5,N5_Group_1
隣,となり,"next to, next door to",N5,N5_Group_1
肉,にく,meat,N5,N5_Group_1
花,はな,flower,N5,N5_Group_1
晩,ばん,evening,N5,N5_Group_1
左,ひだり,left hand side,N5,N5_Group_1
買う,かう,to buy,N5,N5_Group_1
～時,～とき,at the time of ~,N5,N5_Group_1
人,ひと,"man, person",N5,N5_Group_1
百,ひゃく,hundred,N5,N5_Group_1
昼,ひる,"noon, daytime",N5,N5_Group_1
冬,ふゆ,winter,N5,N5_Group_1
返す,かえす,to return something,N5,N5_Group_1
町,まち,town; city,N5,N5_Group_1
窓,まど,window,N5,N5_Group_1
右,みぎ,right hand side,N5,N5_Group_1
水,みず,water,N5,N5_Group_1
道,みち,"road, street; way, directions",N5,N5_Group_1
帰る,かえる,"to go back, to go home, to return",N5,N5_Group_1
目,め,eye(s),N5,N5_Group_1
夜,よる,"evening, night",N5,N5_Group_1
青い,あおい,blue,N5,N5_Group_1
赤い,あかい,red,N5,N5_Group_1
あの,あの,"that over there; like that, that way; um...",N5,N5_Group_1
書く,かく,to write,N5,N5_Group_1
医者,いしゃ,doctor; physician,N5,N5_Group_1
一日,いちにち,one day (duration),N5,N5_Group_1
五日,いつか,five days; fifth day of the month,N5,N5_Group_1
意味,いみ,"meaning, significance",N5,N5_Group_1
うち,うち,home; house; my place,N5,N5_Group_1
貸す,かす,to lend,N5,N5_Group_1
多い,おおい,many; there are a lot,N5,N5_Group_1
大勢,おおぜい,great number of people,N5,N5_Group_1
お金,おかね,money,N5,N5_Group_1
外国,がいこく,foreign country; abroad,N5,N5_Group_1
会社,かいしゃ,"company, corporation",N5,N5_Group_1
聞く,きく,"to hear, to listen, to ask",N5,N5_Group_1
風邪,かぜ,"cold, flu",N5,N5_Group_1
家族,かぞく,"family, members of a family",N5,N5_Group_1
学校,がっこう,a school,N5,N5_Group_1
家庭,かてい,home; family,N5,N5_Group_1
花瓶,かびん,(flower) vase,N5,N5_Group_1
着る,きる,to put on (clothes above your waist); to wear,N5,N5_Group_1
黄色,きいろ,yellow,N5,N5_Group_1
昨日,きのう,yesterday,N5,N5_Group_1
今日,きょう,"today, this day",N5,N5_Group_1
去年,きょねん,last year,N5,N5_Group_1
嫌い,きらい,dislike,N5,N5_Group_1
曇る,くもる,"to become cloudy, to become dim",N5,N5_Group_1
曇り,くもり,"cloudiness, cloudy weather",N5,N5_Group_1
今朝,けさ,this morning,N5,N5_Group_1
玄関,げんかん,entrance (to a house or a building),N5,N5_Group_1
元気,げんき,"health(y), energetic",N5,N5_Group_1
紅茶,こうちゃ,black tea,N5,N5_Group_1
来る,くる,to come,N5,N5_Group_1
ここ,ここ,"here, this place",N5,N5_Group_1
九日,ここのか,nine days; ninth day of the month,N5,N5_Group_1
午前,ごぜん,"morning, A.M.",N5,N5_Group_1
今年,ことし,this year,N5,N5_Group_1
子供,こども,child(ren),N5,N5_Group_1
今月,こんげつ,this month,N5,N5_Group_1
今晩,こんばん,"tonight, this evening",N5,N5_Group_1
さあ,さあ,"come now, well",N5,N5_Group_1
財布,さいふ,wallet,N5,N5_Group_2
静か,しずか,"quiet, calm",N5,N5_Group_2
作文,さくぶん,essay; composition,N5,N5_Group_2
毎月,まいげつ; まいつき,"every month, monthly",N5,N5_Group_2
散歩,さんぽ (する),"walk, stroll",N5,N5_Group_2
消す,けす,"to erase, to delete, to turn off power",N5,N5_Group_2
掃除,そうじ (する),"cleaning, sweeping",N5,N5_Group_2
時間,じかん,time,N5,N5_Group_2
～日,～にち,"~ day of the month, for ~ days",N5,N5_Group_2
仕事,しごと,"work, job, occupation, employment",N5,N5_Group_2
大切,たいせつ,important,N5,N5_Group_2
困る,こまる,"to be bothered, to have difficulty",N5,N5_Group_2
写真,しゃしん,a picture; a photograph,N5,N5_Group_2
毎日,まいにち,every day,N5,N5_Group_2
授業,じゅぎょう,a class (of school),N5,N5_Group_2
高い,たかい,"tall, high; expensive",N5,N5_Group_2
宿題,しゅくだい,homework,N5,N5_Group_2
差す,さす,"to raise (stretch out) hands, to raise (e.g., umbrella)",N5,N5_Group_2
～人,～にん,counter for people,N5,N5_Group_2
上手,じょうず,"be good at, skillful",N5,N5_Group_2
近い,ちかい,"near, close by, short",N5,N5_Group_2
丈夫,じょうぶ,"strong, solid, durable",N5,N5_Group_2
毎年,まいねん; まいとし,"every year, yearly, annually",N5,N5_Group_2
死ぬ,しぬ,to die,N5,N5_Group_2
食堂,しょくどう,"cafeteria, dining hall",N5,N5_Group_2
強い,つよい,"strong, powerful",N5,N5_Group_2
白い,しろい,white,N5,N5_Group_2
～年,～ねん,~ years,N5,N5_Group_2
新聞,しんぶん,newspaper,N5,N5_Group_2
知る,しる,"to know, to understand",N5,N5_Group_2
長い,ながい,"long, lengthy",N5,N5_Group_2
好き,すき,"liking, fondness, love",N5,N5_Group_2
もう,もう,already; again; more,N5,N5_Group_2
少し,すこし,"little, few",N5,N5_Group_2
速い,はやい,"fast, quick",N5,N5_Group_2
吸う,すう,"to breathe in, to suck",N5,N5_Group_2
先月,せんげつ,last month,N5,N5_Group_2
～匹,～ひき,counter for small animals,N5,N5_Group_2
先生,せんせい,"teacher, professor; master; doctor",N5,N5_Group_2
低い,ひくい,"short, low",N5,N5_Group_2
全部,ぜんぶ,"all, entire, whole",N5,N5_Group_2
住む,すむ,"to reside, to live in",N5,N5_Group_2
そこ,そこ,"that place, there; bottom, sole",N5,N5_Group_2
そば,そば,"near, close, beside; Japanese traditional buckwheat noodle",N5,N5_Group_2
古い,ふるい,"old (in reference to objects, not people), aged, ancient",N5,N5_Group_2
大学,だいがく,college; university,N5,N5_Group_2
～本,～ほん,counter for long cylindrical things,N5,N5_Group_2
する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)",N5,N5_Group_2
沢山,たくさん,"many, much",N5,N5_Group_2
便利,べんり,"convenient, handy",N5,N5_Group_2
一日,ついたち,one day; first day of the month,N5,N5_Group_2
天気,てんき,weather,N5,N5_Group_2
電気,でんき,"electricity, (electric) light",N5,N5_Group_2
座る,すわる,to sit,N5,N5_Group_2
細い,ほそい,"thin, slender, fine",N5,N5_Group_2
電車,でんしゃ,electric train,N5,N5_Group_2
～か月,～かげつ,(number of) months,N5,N5_Group_2
どう,どう,"how, in what way",N5,N5_Group_2
遠い,とおい,"far (away), distant",N5,N5_Group_2
出す,だす,to take (something) out; to hand in (something),N5,N5_Group_2
十日,とおか,ten days; tenth day of the month,N5,N5_Group_2
どこ,どこ,"where, what place",N5,N5_Group_2
友達,ともだち,friend,N5,N5_Group_2
鶏肉,とりにく,chicken meat,N5,N5_Group_2
ない,ない,"there isn't, doesn't have",N5,N5_Group_2
立つ,たつ,to stand up,N5,N5_Group_2
