expression,reading,meaning,tags,parts_of_speech,group
そう; そうです,そう; そうです,"yes; appears, to be the case",N5,noun,Basic Greetings
いいえ,いいえ,"no, not at all",N5,expression,Basic Greetings
ええ,ええ,yes,N5,expression,Basic Greetings
下さい,ください,(with te-form verb) please do for me,N5,expression,Basic Greetings
さあ,さあ,"come now, well",N5,expression,Basic Greetings
どうぞ,どうぞ,"please, kindly, by all means",N5,expression,Basic Greetings
どうも,どうも,Thank you; somehow; no matter how hard one may try,N5,expression,Basic Greetings
はい,はい,yes,N5,expression,Basic Greetings
もしもし,もしもし,Hello? (used on the phone),N5,expression,Basic Greetings
あなた,あなた,you,N5,noun,Everyday Essentials
私,わたし,"I, myself",N5,noun,Everyday Essentials
私,わたくし,"I (formal), myself, private affairs",N5,noun,Everyday Essentials
この,この,this,N5,noun,Everyday Essentials
その,その,that,N5,noun,Everyday Essentials
あの,あの,"that over there; like that, that way; um...",N5,noun,Everyday Essentials
ここ,ここ,"here, this place",N5,noun,Everyday Essentials
そこ,そこ,"that place, there; bottom, sole",N5,noun,Everyday Essentials
あそこ,あそこ,"there, over there, that place",N5,noun,Everyday Essentials
こちら,こちら,this person (polite); this way (polite),N5,na-adjective,Everyday Essentials
こっち,こっち,this person; this direction; this side,N5,noun,Everyday Essentials
そっち,そっち,over there,N5,noun,Everyday Essentials
あっち,あっち,over there,N5,noun,Everyday Essentials
どこ,どこ,"where, what place",N5,noun,Everyday Essentials
どっち,どっち,"which one, which way",N5,noun,Everyday Essentials
どちら,どちら,which (one) (way); where (polite),N5,na-adjective,Everyday Essentials
何,なん; なに,what,N5,noun,Everyday Essentials
いくつ,いくつ,"how many, how old",N5,noun,Everyday Essentials
いつ,いつ,when,N5,noun,Everyday Essentials
誰,だれ,who,N5,noun,Everyday Essentials
どなた,どなた,who,N5,noun,Everyday Essentials
どの,どの,which,N5,noun,Everyday Essentials
何～,なん～,what sort of ~,N5,prefix/suffix,Everyday Essentials
少し,すこし,"little, few",N5,noun,Everyday Essentials
全部,ぜんぶ,"all, entire, whole",N5,noun,Everyday Essentials
行く,いく; ゆく,to go,N5,verb,Everyday Essentials
来る,くる,to come,N5,verb,Everyday Essentials
在る; 有る,ある,"to be, to have",N5,verb,Everyday Essentials
居る,いる,"(humble) to be (animate), to exist",N5,verb,Everyday Essentials
要る,いる,to need,N5,verb,Everyday Essentials
出来る,できる,to be able to (to accomplish),N5,verb,Everyday Essentials
使う,つかう,to use,N5,verb,Everyday Essentials
見る,みる,"to see, to look",N5,verb,Everyday Essentials
会う,あう,"to meet, to see",N5,verb,Everyday Essentials
待つ,まつ,to wait,N5,verb,Everyday Essentials
飲む,のむ,to drink,N5,verb,Everyday Essentials
食べる,たべる,to eat,N5,verb,Everyday Essentials
寝る,ねる,to sleep; to go to sleep; to go to bed,N5,verb,Everyday Essentials
起きる,おきる,"to get up (e.g., from sleeping); to happen",N5,verb,Everyday Essentials
生まれる,うまれる,to be born,N5,verb,Everyday Essentials
死ぬ,しぬ,to die,N5,verb,Everyday Essentials
住む,すむ,"to reside, to live in",N5,verb,Everyday Essentials
知る,しる,"to know, to understand",N5,verb,Everyday Essentials
分かる,わかる,to understand,N5,verb,Everyday Essentials
忘れる,わすれる,to forget,N5,verb,Everyday Essentials
覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize",N5,verb,Everyday Essentials
借りる,かりる,"to borrow, to owe",N5,verb,Everyday Essentials
貸す,かす,to lend,N5,verb,Everyday Essentials
返す,かえす,to return something,N5,verb,Everyday Essentials
止まる,とまる,to come to a halt,N5,verb,Everyday Essentials
降りる,おりる,to get off,N5,verb,Everyday Essentials
洗う,あらう,to wash,N5,verb,Everyday Essentials
コピーする,コピーする,to copy,N5,verb,Everyday Essentials
結婚,けっこん (する),marriage (get married),N5,noun,Everyday Essentials
名前,なまえ,name,N5,noun,Everyday Essentials
紙,かみ,paper,N5,noun,Everyday Essentials
辞書,じしょ,dictionary,N5,noun,Everyday Essentials
字引,じびき,dictionary,N5,noun,Everyday Essentials
カメラ,カメラ,camera,N5,noun,Everyday Essentials
水,みず,water,N5,noun,Everyday Essentials
男,おとこ,"man, male",N5,noun,Everyday Essentials
女,おんな,"woman, female",N5,noun,Everyday Essentials
男の子,おとこのこ,boy,N5,noun,Everyday Essentials
女の子,おんなのこ,girl,N5,noun,Everyday Essentials
方,かた,-- honorific form for 人 (ひと) --; way of doing,N5,verb,Everyday Essentials
友達,ともだち,friend,N5,noun,Everyday Essentials
動物,どうぶつ,animal,N5,noun,Everyday Essentials
ペット,ペット,pet,N5,noun,Everyday Essentials
問題,もんだい,a problem,N5,noun,Everyday Essentials
大使館,たいしかん,embassy,N5,noun,Everyday Essentials
交番,こうばん,police box,N5,noun,Everyday Essentials
たばこ,たばこ,"tobacco, cigarettes",N5,noun,Everyday Essentials
テープ,テープ,tape,N5,noun,Everyday Essentials
ページ,ページ,a page,N5,noun,Everyday Essentials
箱,はこ,box,N5,noun,Everyday Essentials
封筒,ふうとう,envelope,N5,noun,Everyday Essentials
葉書,はがき,postcard,N5,noun,Everyday Essentials
ポケット,ポケット,pocket,N5,noun,Everyday Essentials
門,もん,gate,N5,noun,Everyday Essentials
横,よこ,beside; side; width,N5,noun,Everyday Essentials
外,そと,"outside, exterior",N5,noun,Everyday Essentials
外,ほか,"other, the rest",N5,noun,Everyday Essentials
中,なか,"inside, middle, among",N5,noun,Everyday Essentials
上,うえ,"above (up, top, etc.), over, on top of",N5,noun,Everyday Essentials
下,した,"under, below, beneath",N5,noun,Everyday Essentials
前,まえ,"before, in front",N5,noun,Everyday Essentials
後,あと,afterwards (later); in the future; the rest; since then,N5,noun,Everyday Essentials
次,つぎ,next,N5,noun,Everyday Essentials
所,ところ,place,N5,noun,Everyday Essentials
辺,へん,"area, vicinity",N5,noun,Everyday Essentials
向こう,むこう,"beyond, over there",N5,noun,Everyday Essentials
キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram),N5,noun,Everyday Essentials
キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer),N5,noun,Everyday Essentials
グラム,グラム,gram,N5,noun,Everyday Essentials
メートル,メートル,meter,N5,noun,Everyday Essentials
～円,～えん,Yen,N5,prefix/suffix,Everyday Essentials
～側,～がわ,~ side,N5,prefix/suffix,Everyday Essentials
～さん,～さん,"Mr. ~, Ms. ~",N5,prefix/suffix,Everyday Essentials
～すぎ,～すぎ,"past; to exceed, ~ too much",N5,prefix/suffix,Everyday Essentials
～だけ,～だけ,"only ~, just ~, as ~",N5,prefix/suffix,Everyday Essentials
～番,～ばん,~st; ~th best,N5,prefix/suffix,Everyday Essentials
～前,～まえ,in front of ~,N5,prefix/suffix,Everyday Essentials
お～,お～,honorable ~ (honorific),N5,prefix/suffix,Everyday Essentials
じゃ; じゃあ,じゃ; じゃあ,"well, well then",N5,noun,Everyday Essentials
では,では,"then, well, so",N5,noun,Everyday Essentials
ああ,ああ,"Ah!, Oh!",N5,expression,Everyday Essentials
いい; よい,いい; よい,good,N5,i-adjective,Everyday Essentials
多い,おおい,many; there are a lot,N5,i-adjective,Everyday Essentials
少ない,すくない,a little; a few,N5,i-adjective,Everyday Essentials
ない,ない,"there isn't, doesn't have",N5,i-adjective,Everyday Essentials
難しい,むずかしい,difficult,N5,i-adjective,Everyday Essentials
悪い,わるい,"bad, sinful; inferior",N5,i-adjective,Everyday Essentials
うるさい,うるさい,noisy; annoying,N5,i-adjective,Everyday Essentials
有名,ゆうめい,famous,N5,na-adjective,Everyday Essentials
余り,あまり,not very; surplus,N5,adverb,Everyday Essentials
しかし,しかし,however; but,N5,adverb,Everyday Essentials
でも,でも,"but, however",N5,adverb,Everyday Essentials
丁度,ちょうど,"just, right, exactly",N5,adverb,Everyday Essentials
もっと,もっと,more,N5,noun,Everyday Essentials
一,いち,one,N5,noun,Numbers & Counting
二,に,two,N5,noun,Numbers & Counting
三,さん,three,N5,noun,Numbers & Counting
四,し,four,N5,noun,Numbers & Counting
五,ご,five,N5,noun,Numbers & Counting
六,ろく,six,N5,noun,Numbers & Counting
七,しち,seven,N5,noun,Numbers & Counting
八,はち,eight,N5,noun,Numbers & Counting
九,きゅう,nine,N5,noun,Numbers & Counting
九,く,nine,N5,noun,Numbers & Counting
十,じゅう,ten,N5,noun,Numbers & Counting
十,(〜を) とお,ten (~),N5,noun,Numbers & Counting
二十歳,はたち,20 years old,N5,noun,Numbers & Counting
百,ひゃく,hundred,N5,noun,Numbers & Counting
千,せん,thousand,N5,noun,Numbers & Counting
万,まん,ten thousand,N5,noun,Numbers & Counting
ゼロ,ゼロ,zero,N5,noun,Numbers & Counting
零,れい,"zero, nought",N5,noun,Numbers & Counting
これ,これ,this one,N5,noun,Numbers & Counting
それ,それ,that one,N5,noun,Numbers & Counting
あれ,あれ,that one (over there),N5,noun,Numbers & Counting
どれ,どれ,which one,N5,noun,Numbers & Counting
誰か,だれか,someone,N5,noun,Numbers & Counting
一番,いちばん,"best (most), first, number one",N5,noun,Numbers & Counting
一緒,いっしょ,together,N5,noun,Numbers & Counting
大勢,おおぜい,great number of people,N5,noun,Numbers & Counting
背,せい,"(one's) height, stature",N5,noun,Numbers & Counting
たて,たて,"length, height",N5,noun,Numbers & Counting
番号,ばんごう,"number, series of digits",N5,noun,Numbers & Counting
半,はん,"half (e.g., にじはん | half-past two)",N5,noun,Numbers & Counting
半分,はんぶん,half,N5,noun,Numbers & Counting
一つ,ひとつ,one thing,N5,noun,Numbers & Counting
二つ,ふたつ,two things,N5,noun,Numbers & Counting
三つ,みっつ,three things,N5,noun,Numbers & Counting
四つ,よっつ,four things,N5,noun,Numbers & Counting
